hour,open,high,low,close
10.0,108230.0,108380.0,107520.0,107640.0
11.0,107620.0,107690.0,107350.0,107470.0
12.0,107460.0,107820.0,107340.0,107770.0
13.0,107780.0,108210.0,107660.0,108080.0
14.0,108080.0,108330.0,107990.0,108170.0
15.0,108140.0,108290.0,108080.0,108270.0
16.0,108270.0,108450.0,108210.0,108360.0
17.0,108360.0,108580.0,108250.0,108300.0
18.0,108310.0,108680.0,108140.0,108640.0
19.0,108630.0,108690.0,108370.0,108520.0
20.0,108530.0,108600.0,108450.0,108600.0
21.0,108590.0,108650.0,108490.0,108490.0
22.0,108520.0,108620.0,108320.0,108370.0
23.0,108440.0,108540.0,108370.0,108440.0
